,,,Trigger SFT_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660389905.588691,11:25:05.588691,8068,0.92900000
1660389916.821809,11:25:16.821809,8066,0.84900000
1660389928.560812,11:25:28.560812,8064,0.88600000
1660389939.690811,11:25:39.690811,8062,0.63300000
1660389951.483808,11:25:51.483808,8060,0.89500000
1660389963.374812,11:26:03.374812,8058,0.99500000
1660389974.320811,11:26:14.320811,8056,0.56500000
1660389986.361808,11:26:26.361808,8054,0.98000000
1660389997.856810,11:26:37.856810,8052,0.82300000
1660390009.603808,11:26:49.603808,8050,0.96600000
1660390020.730809,11:27:00.730809,8048,0.74400000
1660390031.893807,11:27:11.893807,8046,0.35800000
1660390043.576810,11:27:23.576810,8044,0.39700000
1660390055.492808,11:27:35.492808,8042,0.72800000
1660390067.310811,11:27:47.310811,8040,0.92800000
1660390079.023808,11:27:59.023808,8038,0.94800000
1660390090.123808,11:28:10.123808,8036,0.59100000
1660390101.838811,11:28:21.838811,8034,0.80900000
1660390112.921811,11:28:32.921811,8032,0.38500000
1660390125.028807,11:28:45.028807,8030,0.80900000
1660390136.538811,11:28:56.538811,8028,0.80600000
1660390148.063809,11:29:08.063809,8026,0.72600000
1660390159.750807,11:29:19.750807,8024,0.83100000
1660390171.051810,11:29:31.051810,8022,0.61600000
1660390182.896808,11:29:42.896808,8020,0.92700000
1660390193.942807,11:29:53.942807,8018,0.52100000
1660390206.087809,11:30:06.087809,8016,0.98800000
1660390217.432809,11:30:17.432809,8014,0.82100000
1660390228.628807,11:30:28.628807,8012,0.34600000
1660390240.500810,11:30:40.500810,8010,0.65200000
1660390252.071808,11:30:52.071808,8008,0.60800000
1660390263.745812,11:31:03.745812,8006,0.72800000
1660390275.407810,11:31:15.407810,8004,0.91600000
1660390287.135807,11:31:27.135807,8002,0.96500000
1660390298.510811,11:31:38.510811,8000,0.76300000
1660390309.844810,11:31:49.844810,7998,0.48600000
1660390321.920807,11:32:01.920807,7996,0.99800000
1660390333.082807,11:32:13.082807,7994,0.63900000
1660390345.015809,11:32:25.015809,7992,0.94500000
1660390356.487807,11:32:36.487807,7990,0.92800000
1660390367.746808,11:32:47.746808,7988,0.58600000
1660390378.877811,11:32:58.877811,7986,0.11100000
1660390390.748808,11:33:10.748808,7984,0.33100000
1660390402.795811,11:33:22.795811,7982,0.91500000
1660390414.407808,11:33:34.407808,7980,0.73700000
1660390425.867807,11:33:45.867807,7978,0.62000000
1660390437.604810,11:33:57.604810,7976,0.62900000
1660390449.440807,11:34:09.440807,7974,0.88600000
1660390460.642807,11:34:20.642807,7972,0.51900000
1660390472.766811,11:34:32.766811,7970,0.95200000
1660390484.144807,11:34:44.144807,7968,0.76600000
1660390495.877812,11:34:55.877812,7966,0.99400000
1660390507.078809,11:35:07.078809,7964,0.51200000
1660390518.688807,11:35:18.688807,7962,0.57800000
1660390529.884808,11:35:29.884808,7960,0.33400000
1660390541.071811,11:35:41.071811,7958,0.09300000
1660390553.171808,11:35:53.171808,7956,0.65900000
1660390564.993810,11:36:04.993810,7954,0.96700000
1660390576.566809,11:36:16.566809,7952,0.87200000
1660390588.210807,11:36:28.210807,7950,0.80900000
1660390600.096810,11:36:40.096810,7948,0.95900000
1660390611.605808,11:36:51.605808,7946,0.83600000
1660390623.316811,11:37:03.316811,7944,0.87800000
1660390634.548811,11:37:14.548811,7942,0.48000000
1660390646.466808,11:37:26.466808,7940,0.89200000
1660390657.556807,11:37:37.556807,7938,0.41200000
1660390669.339810,11:37:49.339810,7936,0.65500000
1660390681.011807,11:38:01.011807,7934,0.77300000
1660390692.374807,11:38:12.374807,7932,0.44200000
1660390703.510810,11:38:23.510810,7930,0.01400000
1660390715.410808,11:38:35.410808,7928,0.21800000
1660390726.988807,11:38:46.988807,7926,0.17000000
1660390739.065809,11:38:59.065809,7924,0.57600000
1660390750.643808,11:39:10.643808,7922,0.69700000
1660390762.458810,11:39:22.458810,7920,0.88900000
1660390773.965807,11:39:33.965807,7918,0.90800000
1660390785.553807,11:39:45.553807,7916,0.78300000
1660390796.844811,11:39:56.844811,7914,0.48300000
1660390808.107810,11:40:08.107810,7912,0.22900000
1660390819.924807,11:40:19.924807,7910,0.60600000
1660390831.100813,11:40:31.100813,7908,0.18300000
1660390842.934810,11:40:42.934810,7906,0.45100000
1660390854.637806,11:40:54.637806,7904,0.49400000
1660390866.123811,11:41:06.123811,7902,0.29500000
1660390878.212807,11:41:18.212807,7900,0.90200000
1660390889.564795,11:41:29.564795,7898,0.59000000
1660390901.202809,11:41:41.202809,7896,0.56200000
1660390913.305806,11:41:53.305806,7894,0.97800000
1660390924.489812,11:42:04.489812,7892,0.50900000
1660390936.050809,11:42:16.050809,7890,0.55800000
1660390947.910808,11:42:27.910808,7888,0.75900000
1660390959.031811,11:42:39.031811,7886,0.32400000
1660390971.215808,11:42:51.215808,7884,0.89700000
1660390982.628807,11:43:02.628807,7882,0.82300000
1660390994.261808,11:43:14.261808,7880,0.89200000
1660391005.643809,11:43:25.643809,7878,0.75600000
1660391017.348807,11:43:37.348807,7876,0.69100000
1660391029.082809,11:43:49.082809,7874,0.93100000
1660391040.412809,11:44:00.412809,7872,0.73900000
1660391052.206811,11:44:12.206811,7870,0.92100000
1660391063.427811,11:44:23.427811,7868,0.63900000
1660391075.332807,11:44:35.332807,7866,0.96000000
1660391086.516807,11:44:46.516807,7864,0.58300000
1660391097.816811,11:44:57.816811,7862,0.33200000
1660391109.725804,11:45:09.725804,7860,0.67500000
1660391121.020808,11:45:21.020808,7858,0.30600000
1660391132.688811,11:45:32.688811,7856,0.43600000
1660391144.772808,11:45:44.772808,7854,0.90600000
1660391156.037811,11:45:56.037811,7852,0.52600000
1660391167.651810,11:46:07.651810,7850,0.68500000
1660391178.807809,11:46:18.807809,7848,0.22900000
1660391190.588807,11:46:30.588807,7846,0.47900000
1660391202.101810,11:46:42.101810,7844,0.40900000
1660391213.395808,11:46:53.395808,7842,0.26300000
1660391225.313812,11:47:05.313812,7840,0.53300000
1660391236.462811,11:47:16.462811,7838,0.12100000
1660391248.449808,11:47:28.449808,7836,0.53800000
1660391260.464810,11:47:40.464810,7834,0.96700000
1660391271.833809,11:47:51.833809,7832,0.72100000
1660391282.905808,11:48:02.905808,7830,0.35100000
1660391294.809812,11:48:14.809812,7828,0.72800000
1660391306.122810,11:48:26.122810,7826,0.43100000
1660391317.963806,11:48:37.963806,7824,0.59100000
1660391329.409811,11:48:49.409811,7822,0.50100000
