,,,Trigger SOV_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660389898.583800,11:24:58.583800,8069,0.68800000
1660389910.889801,11:25:10.889801,8067,0.68000000
1660389922.829801,11:25:22.829801,8065,0.92200000
1660389934.031801,11:25:34.031801,8063,0.57500000
1660389945.135801,11:25:45.135801,8061,0.27300000
1660389956.782801,11:25:56.782801,8059,0.37300000
1660389968.494801,11:26:08.494801,8057,0.50200000
1660389980.487801,11:26:20.487801,8055,0.92700000
1660389992.048801,11:26:32.048801,8053,0.90300000
1660390003.682801,11:26:43.682801,8051,0.81300000
1660390015.214801,11:26:55.214801,8049,0.94000000
1660390026.467801,11:27:06.467801,8047,0.70600000
1660390037.941801,11:27:17.941801,8045,0.64000000
1660390049.589801,11:27:29.589801,8043,0.64600000
1660390061.450801,11:27:41.450801,8041,0.88900000
1660390072.651801,11:27:52.651801,8039,0.47800000
1660390084.259801,11:28:04.259801,8037,0.55700000
1660390095.685801,11:28:15.685801,8035,0.39300000
1660390107.555801,11:28:27.555801,8033,0.76300000
1660390118.852801,11:28:38.852801,8031,0.39500000
1660390130.690801,11:28:50.690801,8029,0.83500000
1660390142.484801,11:29:02.484801,8027,0.99500000
1660390153.652801,11:29:13.652801,8025,0.51400000
1660390165.642801,11:29:25.642801,8023,0.94000000
1660390176.951801,11:29:36.951801,8021,0.68900000
1660390188.659801,11:29:48.659801,8019,0.99700000
1660390199.853801,11:29:59.853801,8017,0.65000000
1660390211.646801,11:30:11.646801,8015,0.85900000
1660390223.137801,11:30:23.137801,8013,0.71100000
1660390234.481801,11:30:34.481801,8011,0.44100000
1660390246.633801,11:30:46.633801,8009,0.94300000
1660390257.913801,11:30:57.913801,8007,0.77900000
1660390269.523801,11:31:09.523801,8005,0.79700000
1660390280.991801,11:31:20.991801,8003,0.71700000
1660390292.760801,11:31:32.760801,8001,0.65600000
1660390304.406801,11:31:44.406801,7999,0.80000000
1660390315.570801,11:31:55.570801,7997,0.48600000
1660390327.379801,11:32:07.379801,7995,0.71400000
1660390338.655801,11:32:18.655801,7993,0.46200000
1660390350.233801,11:32:30.233801,7991,0.47400000
1660390362.236801,11:32:42.236801,7989,0.84100000
1660390373.383801,11:32:53.383801,7987,0.38700000
1660390384.794801,11:33:04.794801,7985,0.24400000
1660390397.013801,11:33:17.013801,7983,0.91000000
1660390408.298801,11:33:28.298801,7981,0.48800000
1660390420.528801,11:33:40.528801,7979,0.89200000
1660390432.105801,11:33:52.105801,7977,0.99900000
1660390443.317801,11:34:03.317801,7975,0.62100000
1660390455.361801,11:34:15.361801,7973,0.91100000
1660390466.730801,11:34:26.730801,7971,0.91600000
1660390478.360801,11:34:38.360801,7969,0.73500000
1660390490.155801,11:34:50.155801,7967,0.96400000
1660390501.682801,11:35:01.682801,7965,0.95300000
1660390513.155801,11:35:13.155801,7963,0.89700000
1660390524.345801,11:35:24.345801,7961,0.57600000
1660390535.600801,11:35:35.600801,7959,0.46000000
1660390547.030801,11:35:47.030801,7957,0.22600000
1660390558.794801,11:35:58.794801,7955,0.53800000
1660390570.069801,11:36:10.069801,7953,0.07800000
1660390582.158801,11:36:22.158801,7951,0.60900000
1660390594.085801,11:36:34.085801,7949,0.86800000
1660390605.582801,11:36:45.582801,7947,0.65000000
1660390617.353801,11:36:57.353801,7945,0.78000000
1660390628.749801,11:37:08.749801,7943,0.46400000
1660390640.541801,11:37:20.541801,7941,0.76400000
1660390652.252801,11:37:32.252801,7939,0.90100000
1660390663.910801,11:37:43.910801,7937,0.98900000
1660390675.002801,11:37:55.002801,7935,0.50400000
1660390686.964801,11:38:06.964801,7933,0.93100000
1660390698.717801,11:38:18.717801,7931,0.74900000
1660390709.575801,11:38:29.575801,7929,0.27000000
1660390721.857801,11:38:41.857801,7927,0.77000000
1660390733.565801,11:38:53.565801,7925,0.94400000
1660390744.839801,11:39:04.839801,7923,0.58000000
1660390756.588801,11:39:16.588801,7921,0.84800000
1660390768.174801,11:39:28.174801,7919,0.85300000
1660390779.780801,11:39:39.780801,7917,0.86100000
1660390791.099802,11:39:51.099802,7915,0.62500000
1660390802.615801,11:40:02.615801,7913,0.41800000
1660390813.822801,11:40:13.822801,7911,0.41700000
1660390826.042801,11:40:26.042801,7909,0.90300000
1660390837.142801,11:40:37.142801,7907,0.49000000
1660390848.806801,11:40:48.806801,7905,0.46500000
1660390860.776801,11:41:00.776801,7903,0.77700000
1660390872.198801,11:41:12.198801,7901,0.61900000
1660390883.989801,11:41:23.989801,7899,0.83200000
1660390895.314801,11:41:35.314801,7897,0.49600000
1660390907.134801,11:41:47.134801,7895,0.64600000
1660390919.155801,11:41:59.155801,7893,0.99300000
1660390930.630801,11:42:10.630801,7891,0.90100000
1660390941.929801,11:42:21.929801,7889,0.51100000
1660390952.954801,11:42:32.954801,7887,0.05400000
1660390964.899801,11:42:44.899801,7885,0.27300000
1660390976.010801,11:42:56.010801,7883,0.01800000
1660390988.247801,11:43:08.247801,7881,0.54400000
1660390999.939801,11:43:19.939801,7879,0.80600000
1660391011.126801,11:43:31.126801,7877,0.37300000
1660391023.142801,11:43:43.142801,7875,0.69500000
1660391034.364801,11:43:54.364801,7873,0.43900000
1660391045.970801,11:44:05.970801,7871,0.52700000
1660391057.450801,11:44:17.450801,7869,0.43000000
1660391069.327801,11:44:29.327801,7867,0.85800000
1660391080.843801,11:44:40.843801,7865,0.68900000
1660391092.035801,11:44:52.035801,7863,0.38000000
1660391103.977801,11:45:03.977801,7861,0.68100000
1660391115.440801,11:45:15.440801,7859,0.49200000
1660391127.009801,11:45:27.009801,7857,0.55900000
1660391138.698801,11:45:38.698801,7855,0.74400000
1660391150.636801,11:45:50.636801,7853,0.93200000
1660391162.151801,11:46:02.151801,7851,0.85800000
1660391173.161801,11:46:13.161801,7849,0.41000000
1660391185.241801,11:46:25.241801,7847,0.88100000
1660391196.651801,11:46:36.651801,7845,0.80900000
1660391208.192801,11:46:48.192801,7843,0.68000000
1660391219.486801,11:46:59.486801,7841,0.48300000
1660391230.687801,11:47:10.687801,7839,0.27900000
1660391242.671801,11:47:22.671801,7837,0.50900000
1660391254.346801,11:47:34.346801,7835,0.66900000
1660391265.704801,11:47:45.704801,7833,0.44000000
