,,,Trigger SFT_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660302360.780812,11:06:00.780812,8062,0.93700000
1660302372.558808,11:06:12.558808,8060,0.49000000
1660302385.238808,11:06:25.238808,8058,0.81800000
1660302397.179811,11:06:37.179811,8056,0.46000000
1660302409.596812,11:06:49.596812,8054,0.70600000
1660302421.555808,11:07:01.555808,8052,0.42000000
1660302434.252807,11:07:14.252807,8050,0.85000000
1660302446.230809,11:07:26.230809,8048,0.77200000
1660302458.494812,11:07:38.494812,8046,0.60500000
1660302471.284811,11:07:51.284811,8044,0.96000000
1660302483.437807,11:08:03.437807,8042,0.94300000
1660302495.240816,11:08:15.240816,8040,0.51700000
1660302507.707811,11:08:27.707811,8038,0.71800000
1660302519.697808,11:08:39.697808,8036,0.53900000
1660302532.233807,11:08:52.233807,8034,0.85900000
1660302544.413808,11:09:04.413808,8032,0.77800000
1660302556.548810,11:09:16.548810,8030,0.66200000
1660302568.896811,11:09:28.896811,8028,0.76500000
1660302581.332812,11:09:41.332812,8026,0.92500000
1660302593.294808,11:09:53.294808,8024,0.67400000
1660302605.370810,11:10:05.370810,8022,0.45800000
1660302618.013810,11:10:18.013810,8020,0.72700000
1660302630.088812,11:10:30.088812,8018,0.37600000
1660302642.864807,11:10:42.864807,8016,0.72100000
1660302654.790808,11:10:54.790808,8014,0.72500000
1660302666.397811,11:11:06.397811,8012,0.33200000
1660302678.860796,11:11:18.860796,8010,0.90000000
1660302690.969800,11:11:30.969800,8008,0.90600000
1660302702.668811,11:11:42.668811,8006,0.45500000
1660302714.976794,11:11:54.976794,8004,0.87900000
1660302726.962809,11:12:06.962809,8002,0.66500000
1660302738.574811,11:12:18.574811,8000,0.24300000
1660302750.386809,11:12:30.386809,7998,0.24700000
1660302761.963806,11:12:41.963806,7996,0.02000000
1660302773.793807,11:12:53.793807,7994,0.28400000
1660302785.717811,11:13:05.717811,7992,0.28100000
1660302797.608807,11:13:17.608807,7990,0.45300000
1660302809.990806,11:13:29.990806,7988,0.94000000
1660302821.227806,11:13:41.227806,7986,0.47600000
1660302833.184809,11:13:53.184809,7984,0.81300000
1660302844.567806,11:14:04.567806,7982,0.49200000
1660302856.613808,11:14:16.613808,7980,0.72300000
1660302868.234812,11:14:28.234812,7978,0.66500000
1660302879.666809,11:14:39.666809,7976,0.34600000
1660302891.606812,11:14:51.606812,7974,0.74700000
1660302903.524808,11:15:03.524808,7972,0.90400000
1660302914.956813,11:15:14.956813,7970,0.74800000
1660302926.550809,11:15:26.550809,7968,0.61800000
1660302938.727810,11:15:38.727810,7966,0.98900000
1660302950.766807,11:15:50.766807,7964,1.00000000
1660302962.209810,11:16:02.209810,7962,0.55100000
1660302973.577808,11:16:13.577808,7960,0.19500000
1660302985.609810,11:16:25.609810,7958,0.43700000
1660302997.967812,11:16:37.967812,7956,0.87500000
1660303010.024807,11:16:50.024807,7954,0.98400000
1660303021.696811,11:17:01.696811,7952,0.72000000
1660303033.392809,11:17:13.392809,7950,0.35200000
1660303045.574809,11:17:25.574809,7948,0.31900000
1660303057.816811,11:17:37.816811,7946,0.39700000
1660303069.901806,11:17:49.901806,7944,0.26200000
1660303082.437807,11:18:02.437807,7942,0.59700000
1660303094.409810,11:18:14.409810,7940,0.74200000
1660303106.175806,11:18:26.175806,7938,0.61900000
1660303118.406808,11:18:38.406808,7936,0.93100000
1660303130.283810,11:18:50.283810,7934,0.89100000
1660303141.765807,11:19:01.765807,7932,0.42300000
1660303154.164809,11:19:14.164809,7930,0.83200000
1660303166.133811,11:19:26.133811,7928,0.86900000
1660303177.859808,11:19:37.859808,7926,0.57600000
1660303190.325809,11:19:50.325809,7924,0.86000000
1660303202.240811,11:20:02.240811,7922,0.87100000
1660303214.008808,11:20:14.008808,7920,0.70300000
1660303225.656811,11:20:25.656811,7918,0.41300000
1660303237.795808,11:20:37.795808,7916,0.63700000
1660303250.075809,11:20:50.075809,7914,0.99600000
1660303261.657812,11:21:01.657812,7912,0.53300000
1660303273.396809,11:21:13.396809,7910,0.37100000
1660303285.786809,11:21:25.786809,7908,0.72700000
1660303297.449807,11:21:37.449807,7906,0.37600000
1660303309.644809,11:21:49.644809,7904,0.44400000
1660303321.990809,11:22:01.990809,7902,0.64900000
1660303333.616807,11:22:13.616807,7900,0.29200000
1660303346.282813,11:22:26.282813,7898,0.95200000
1660303358.111810,11:22:38.111810,7896,0.90800000
1660303369.520806,11:22:49.520806,7894,0.43500000
1660303381.993808,11:23:01.993808,7892,0.84500000
1660303393.804811,11:23:13.804811,7890,0.77500000
1660303405.552807,11:23:25.552807,7888,0.51300000
1660303417.705809,11:23:37.705809,7886,0.66200000
1660303429.920811,11:23:49.920811,7884,0.80900000
1660303441.945807,11:24:01.945807,7882,0.87700000
1660303453.755812,11:24:13.755812,7880,0.76700000
1660303465.492807,11:24:25.492807,7878,0.58600000
1660303478.026808,11:24:38.026808,7876,0.96200000
1660303489.904811,11:24:49.904811,7874,0.91800000
1660303501.398808,11:25:01.398808,7872,0.44700000
1660303513.670809,11:25:13.670809,7870,0.70400000
1660303525.608811,11:25:25.608811,7868,0.61800000
1660303537.827807,11:25:37.827807,7866,0.93100000
1660303549.441811,11:25:49.441811,7864,0.63400000
