,,,Trigger SOV_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660303640.000801,11:27:20.000801,7849,0.79200000
1660303652.189801,11:27:32.189801,7847,0.72000000
1660303664.308801,11:27:44.308801,7845,0.82900000
1660303675.934801,11:27:55.934801,7843,0.52500000
1660303688.026801,11:28:08.026801,7841,0.34000000
1660303700.459801,11:28:20.459801,7839,0.79900000
1660303712.270801,11:28:32.270801,7837,0.49500000
1660303724.526801,11:28:44.526801,7835,0.62300000
1660303736.451801,11:28:56.451801,7833,0.41100000
1660303748.645801,11:29:08.645801,7831,0.42400000
1660303761.202801,11:29:21.202801,7829,0.92600000
1660303773.181801,11:29:33.181801,7827,0.75300000
1660303785.323801,11:29:45.323801,7825,0.68500000
1660303797.812801,11:29:57.812801,7823,0.96000000
1660303809.989801,11:30:09.989801,7821,0.98000000
1660303821.805801,11:30:21.805801,7819,0.70800000
1660303834.261801,11:30:34.261801,7817,0.99100000
1660303846.322801,11:30:46.322801,7815,0.99400000
1660303858.097801,11:30:58.097801,7813,0.53500000
1660303870.269801,11:31:10.269801,7811,0.48300000
1660303882.483801,11:31:22.483801,7809,0.78700000
1660303894.467801,11:31:34.467801,7807,0.91200000
1660303906.339801,11:31:46.339801,7805,0.58500000
1660303918.550801,11:31:58.550801,7803,0.95500000
1660303930.629801,11:32:10.629801,7801,0.93100000
1660303942.149801,11:32:22.149801,7799,0.51600000
1660303954.518801,11:32:34.518801,7797,0.70200000
1660303966.081801,11:32:46.081801,7795,0.36100000
1660303978.573801,11:32:58.573801,7793,0.82300000
1660303990.328801,11:33:10.328801,7791,0.64300000
1660304002.571801,11:33:22.571801,7789,0.93000000
1660304014.241801,11:33:34.241801,7787,0.69600000
1660304025.880801,11:33:45.880801,7785,0.53200000
1660304038.153801,11:33:58.153801,7783,0.82000000
1660304049.859801,11:34:09.859801,7781,0.58100000
1660304062.111801,11:34:22.111801,7779,0.98900000
1660304074.139801,11:34:34.139801,7777,1.00000000
1660304086.009801,11:34:46.009801,7775,0.93400000
1660304097.522801,11:34:57.522801,7773,0.48500000
1660304109.458801,11:35:09.458801,7771,0.64700000
1660304121.096801,11:35:21.096801,7769,0.25200000
1660304132.638801,11:35:32.638801,7767,0.08600000
1660304144.780801,11:35:44.780801,7765,0.09700000
1660304157.098801,11:35:57.098801,7763,0.39500000
1660304168.873801,11:36:08.873801,7761,0.23800000
1660304181.427801,11:36:21.427801,7759,0.77600000
1660304193.255801,11:36:33.255801,7757,0.67800000
1660304205.065801,11:36:45.065801,7755,0.42700000
1660304217.082801,11:36:57.082801,7753,0.18900000
1660304229.566801,11:37:09.566801,7751,0.58000000
1660304242.059801,11:37:22.059801,7749,0.82900000
1660304254.168801,11:37:34.168801,7747,0.83400000
1660304266.528801,11:37:46.528801,7745,0.96800000
1660304278.220801,11:37:58.220801,7743,0.66600000
1660304290.844801,11:38:10.844801,7741,0.98100000
1660304302.793801,11:38:22.793801,7739,0.57700000
1660304315.551801,11:38:35.551801,7737,0.97900000
1660304327.877801,11:38:47.877801,7735,0.88100000
1660304340.305801,11:39:00.305801,7733,0.84700000
1660304352.441801,11:39:12.441801,7731,0.50300000
1660304364.666801,11:39:24.666801,7729,0.28500000
1660304376.846801,11:39:36.846801,7727,0.16000000
1660304389.297801,11:39:49.297801,7725,0.05100000
1660304402.157801,11:40:02.157801,7723,0.38800000
1660304414.281801,11:40:14.281801,7721,0.02500000
1660304427.362801,11:40:27.362801,7719,0.52700000
1660304440.372801,11:40:40.372801,7717,0.75100000
1660304452.989801,11:40:52.989801,7715,0.49900000
1660304465.160801,11:41:05.160801,7713,0.01900000
1660304478.097801,11:41:18.097801,7711,0.31000000
1660304491.513801,11:41:31.513801,7709,0.80500000
1660304504.466801,11:41:44.466801,7707,0.92100000
1660304517.276801,11:41:57.276801,7705,0.94000000
1660304529.388801,11:42:09.388801,7703,0.50300000
1660304542.395801,11:42:22.395801,7701,0.63100000
1660304555.195801,11:42:35.195801,7699,0.69600000
1660304568.264801,11:42:48.264801,7697,0.99600000
1660304580.359801,11:43:00.359801,7695,0.55200000
1660304593.172801,11:43:13.172801,7693,0.51500000
1660304606.191801,11:43:26.191801,7691,0.71600000
1660304618.953801,11:43:38.953801,7689,0.73300000
1660304631.213801,11:43:51.213801,7687,0.35700000
1660304643.712801,11:44:03.712801,7685,0.04600000
1660304656.392801,11:44:16.392801,7683,0.01800000
1660304669.714801,11:44:29.714801,7681,0.36000000
1660304682.707801,11:44:42.707801,7679,0.68200000
1660304695.066801,11:44:55.066801,7677,0.48700000
1660304707.685801,11:45:07.685801,7675,0.59300000
1660304720.164801,11:45:20.164801,7673,0.74600000
1660304732.625801,11:45:32.625801,7671,0.78400000
1660304744.668801,11:45:44.668801,7669,0.33900000
1660304756.843801,11:45:56.843801,7667,0.07200000
1660304769.870801,11:46:09.870801,7665,0.34400000
1660304782.987801,11:46:22.987801,7663,0.94800000
1660304795.099801,11:46:35.099801,7661,0.72500000
1660304807.272801,11:46:47.272801,7659,0.54900000
1660304820.096801,11:47:00.096801,7657,0.94900000
1660304832.447801,11:47:12.447801,7655,0.91500000
1660304844.754801,11:47:24.754801,7653,0.59200000
1660304856.518801,11:47:36.518801,7651,0.11400000
1660304869.244801,11:47:49.244801,7649,0.21600000
1660304882.351801,11:48:02.351801,7647,0.79000000
1660304894.474801,11:48:14.474801,7645,0.51400000
1660304907.358801,11:48:27.358801,7643,0.77000000
1660304919.464801,11:48:39.464801,7641,0.36200000
1660304932.374801,11:48:52.374801,7639,0.76300000
1660304944.610801,11:49:04.610801,7637,0.67300000
1660304957.266801,11:49:17.266801,7635,0.82900000
1660304969.732801,11:49:29.732801,7633,0.87500000
1660304981.795801,11:49:41.795801,7631,0.60600000
1660304994.838801,11:49:54.838801,7629,0.93900000
1660305006.818801,11:50:06.818801,7627,0.60800000
1660305019.634801,11:50:19.634801,7625,0.81500000
1660305031.973801,11:50:31.973801,7623,0.86500000
1660305044.441801,11:50:44.441801,7621,0.74600000
1660305056.616801,11:50:56.616801,7619,0.56700000
1660305069.378801,11:51:09.378801,7617,0.96900000
1660305081.613801,11:51:21.613801,7615,0.71000000
1660305094.191801,11:51:34.191801,7613,0.58800000
1660305106.617801,11:51:46.617801,7611,0.56000000
1660305119.397801,11:51:59.397801,7609,0.84400000
1660305131.871801,11:52:11.871801,7607,0.97900000
1660305144.250801,11:52:24.250801,7605,0.90000000
1660305155.897801,11:52:35.897801,7603,0.45200000
1660305168.068801,11:52:48.068801,7601,0.00000000
1660305180.496801,11:53:00.496801,7599,0.13700000
1660305193.714801,11:53:13.714801,7597,0.58200000
1660305206.544801,11:53:26.544801,7595,0.96200000
1660305218.397801,11:53:38.397801,7593,0.53900000
1660305230.732801,11:53:50.732801,7591,0.31300000
1660305242.982801,11:54:02.982801,7589,0.12000000
1660305256.020801,11:54:16.020801,7587,0.77900000
1660305268.485801,11:54:28.485801,7585,0.75200000
1660305280.952801,11:54:40.952801,7583,0.74800000
1660305293.536801,11:54:53.536801,7581,0.92800000
1660305305.681801,11:55:05.681801,7579,0.53700000
1660305318.038801,11:55:18.038801,7577,0.54900000
1660305329.956801,11:55:29.956801,7575,0.09100000
1660305343.373801,11:55:43.373801,7573,0.91400000
1660305355.574801,11:55:55.574801,7571,0.75200000
1660305368.347801,11:56:08.347801,7569,0.96700000
1660305380.491801,11:56:20.491801,7567,0.98700000
1660305392.896801,11:56:32.896801,7565,0.78300000
1660305405.400801,11:56:45.400801,7563,0.98900000
1660305417.632801,11:56:57.632801,7561,0.61400000
1660305430.274801,11:57:10.274801,7559,0.93900000
1660305442.633801,11:57:22.633801,7557,0.94800000
1660305454.783801,11:57:34.783801,7555,0.72800000
1660305466.907801,11:57:46.907801,7553,0.27800000
1660305479.083801,11:57:59.083801,7551,0.14900000
1660305491.948801,11:58:11.948801,7549,0.67800000
1660305504.625801,11:58:24.625801,7547,0.79100000
1660305516.971801,11:58:36.971801,7545,0.78500000
1660305528.824801,11:58:48.824801,7543,0.32000000
1660305541.485801,11:59:01.485801,7541,0.50000000
1660305554.244801,11:59:14.244801,7539,0.76000000
1660305566.406801,11:59:26.406801,7537,0.36900000
1660305579.251801,11:59:39.251801,7535,0.82400000
1660305591.535801,11:59:51.535801,7533,0.60800000
1660305603.401801,12:00:03.401801,7531,0.21100000
1660305616.768801,12:00:16.768801,7529,0.86400000
1660305629.070801,12:00:29.070801,7527,0.81100000
1660305641.547801,12:00:41.547801,7525,0.66700000
1660305653.933801,12:00:53.933801,7523,0.67800000
1660305667.044801,12:01:07.044801,7521,0.90500000
1660305679.197801,12:01:19.197801,7519,0.52700000
1660305691.957801,12:01:31.957801,7517,0.67000000
1660305704.609801,12:01:44.609801,7515,0.90200000
1660305717.192801,12:01:57.192801,7513,0.95400000
1660305729.319801,12:02:09.319801,7511,0.71900000
1660305741.459801,12:02:21.459801,7509,0.50900000
1660305753.431801,12:02:33.431801,7507,0.09600000
1660305766.582801,12:02:46.582801,7505,0.67400000
1660305778.905801,12:02:58.905801,7503,0.64700000
1660305791.098801,12:03:11.098801,7501,0.47000000
1660305803.943801,12:03:23.943801,7499,0.89300000
1660305816.369801,12:03:36.369801,7497,0.81200000
1660305828.786801,12:03:48.786801,7495,0.64800000
1660305841.511801,12:04:01.511801,7493,0.98800000
1660305853.997801,12:04:13.997801,7491,0.99900000
1660305865.867801,12:04:25.867801,7489,0.59800000
1660305878.492801,12:04:38.492801,7487,0.72000000
1660305890.497801,12:04:50.497801,7485,0.37900000
1660305903.389801,12:05:03.389801,7483,0.72000000
1660305916.127801,12:05:16.127801,7481,0.95400000
1660305928.466801,12:05:28.466801,7479,0.85900000
1660305940.967801,12:05:40.967801,7477,0.96800000
1660305953.077801,12:05:53.077801,7475,0.66700000
1660305965.248801,12:06:05.248801,7473,0.40300000
1660305977.527801,12:06:17.527801,7471,0.17100000
1660305989.958801,12:06:29.958801,7469,0.19800000
1660306002.759801,12:06:42.759801,7467,0.68600000
1660306015.419801,12:06:55.419801,7465,0.89700000
1660306027.615801,12:07:07.615801,7463,0.70000000
1660306039.431801,12:07:19.431801,7461,0.22600000
1660306052.326801,12:07:32.326801,7459,0.45100000
1660306065.199801,12:07:45.199801,7457,0.88600000
1660306076.936801,12:07:56.936801,7455,0.42700000
1660306089.970801,12:08:09.970801,7453,0.98100000
1660306102.523801,12:08:22.523801,7451,0.98100000
1660306114.879801,12:08:34.879801,7449,0.84500000
1660306127.495801,12:08:47.495801,7447,0.98400000
1660306139.552801,12:08:59.552801,7445,0.66400000
1660306152.352801,12:09:12.352801,7443,0.99500000
1660306164.770801,12:09:24.770801,7441,0.92700000
1660306177.083801,12:09:37.083801,7439,0.65400000
1660306189.396801,12:09:49.396801,7437,0.43200000
1660306201.862801,12:10:01.862801,7435,0.39400000
1660306214.151801,12:10:14.151801,7433,0.02600000
1660306226.543801,12:10:26.543801,7431,0.19900000
1660306239.038801,12:10:39.038801,7429,0.22500000
1660306252.211801,12:10:52.211801,7427,0.74600000
1660306264.006801,12:11:04.006801,7425,0.26400000
1660306276.858801,12:11:16.858801,7423,0.66100000
1660306289.655801,12:11:29.655801,7421,0.99200000
1660306301.574801,12:11:41.574801,7419,0.63500000
1660306314.357801,12:11:54.357801,7417,0.84000000
1660306326.689801,12:12:06.689801,7415,0.71700000
1660306338.810801,12:12:18.810801,7413,0.53100000
1660306351.229801,12:12:31.229801,7411,0.73400000
1660306363.798801,12:12:43.798801,7409,0.68100000
1660306376.361801,12:12:56.361801,7407,0.71900000
1660306388.906801,12:13:08.906801,7405,0.82600000
1660306400.782801,12:13:20.782801,7403,0.40700000
1660306413.823801,12:13:33.823801,7401,0.88500000
1660306426.206801,12:13:46.206801,7399,0.80700000
1660306438.257801,12:13:58.257801,7397,0.36000000
1660306450.862801,12:14:10.862801,7395,0.60200000
1660306463.267801,12:14:23.267801,7393,0.71500000
1660306475.247801,12:14:35.247801,7391,0.46200000
1660306487.325801,12:14:47.325801,7389,0.15500000
1660306500.227801,12:15:00.227801,7387,0.59700000
1660306512.656801,12:15:12.656801,7385,0.66000000
1660306525.475801,12:15:25.475801,7383,0.99400000
1660306537.921801,12:15:37.921801,7381,0.90700000
1660306550.243801,12:15:50.243801,7379,0.74700000
1660306562.430801,12:16:02.430801,7377,0.56200000
1660306574.849801,12:16:14.849801,7375,0.61500000
1660306587.734801,12:16:27.734801,7373,0.85800000
1660306600.238801,12:16:40.238801,7371,0.46600000
1660306613.591801,12:16:53.591801,7369,0.99700000
1660306625.811801,12:17:05.811801,7367,0.54800000
1660306638.386801,12:17:18.386801,7365,0.29200000
1660306651.409801,12:17:31.409801,7363,0.45400000
1660306664.713801,12:17:44.713801,7361,0.79700000
1660306677.023801,12:17:57.023801,7359,0.55900000
1660306689.995801,12:18:09.995801,7357,0.58600000
1660306702.876801,12:18:22.876801,7355,0.66400000
1660306715.239801,12:18:35.239801,7353,0.34200000
1660306727.973801,12:18:47.973801,7351,0.25100000
1660306741.463801,12:19:01.463801,7349,0.84000000
1660306754.072801,12:19:14.072801,7347,0.99700000
1660306766.402801,12:19:26.402801,7345,0.81000000
1660306779.035801,12:19:39.035801,7343,0.69100000
1660306791.596801,12:19:51.596801,7341,0.60000000
1660306804.538801,12:20:04.538801,7339,0.82600000
1660306816.240801,12:20:16.240801,7337,0.34600000
1660306829.153801,12:20:29.153801,7335,0.87300000
1660306841.543801,12:20:41.543801,7333,0.65000000
1660306853.590801,12:20:53.590801,7331,0.19600000
1660306866.455801,12:21:06.455801,7329,0.48900000
1660306879.123801,12:21:19.123801,7327,0.83600000
1660306891.766801,12:21:31.766801,7325,0.97900000
1660306903.814801,12:21:43.814801,7323,0.64500000
1660306916.606801,12:21:56.606801,7321,0.96200000
1660306928.917801,12:22:08.917801,7319,0.92400000
1660306941.352801,12:22:21.352801,7317,0.74200000
1660306953.536801,12:22:33.536801,7315,0.47900000
1660306966.049801,12:22:46.049801,7313,0.45700000
1660306978.327801,12:22:58.327801,7311,0.33700000
1660306991.097801,12:23:11.097801,7309,0.59100000
1660307003.809801,12:23:23.809801,7307,0.85200000
1660307016.194801,12:23:36.194801,7305,0.57800000
1660307028.226801,12:23:48.226801,7303,0.14800000
1660307041.055801,12:24:01.055801,7301,0.50700000
1660307053.932801,12:24:13.932801,7299,0.83800000
1660307066.586801,12:24:26.586801,7297,0.91300000
1660307078.582801,12:24:38.582801,7295,0.51900000
